id,name,address,phone,website,latitude,longitude,specialty,rating,operating_hours,description
1,서울대학교병원,서울특별시 종로구 대학로 101,02-2072-0114,https://www.snuh.org,37.5665,126.9780,종합병원,4.8,24시간,국내 최고의 종합병원으로 최신 의료기술과 우수한 의료진을 보유
2,연세대학교세브란스병원,서울특별시 서대문구 연세로 50-1,02-2228-5800,https://www.severance.healthcare,37.5642,126.9369,종합병원,4.7,24시간,세계적인 의료진과 최첨단 의료장비를 갖춘 종합병원
3,고려대학교병원,서울특별시 성북구 고려대로 73,02-920-5114,https://www.kumc.or.kr,37.5894,127.0167,종합병원,4.6,24시간,최신 의료장비와 우수한 의료진이 환자 중심의 진료를 제공
4,삼성서울병원,서울특별시 강남구 일원로 81,02-3410-1114,https://www.samsunghospital.com,37.4876,127.0874,종합병원,4.9,24시간,최첨단 의료기술과 환자 중심의 의료서비스를 제공하는 종합병원
5,아산병원,서울특별시 송파구 올림픽로 43길 88,02-3010-3114,https://www.amc.seoul.kr,37.5275,127.1046,종합병원,4.8,24시간,최고의 의료진과 장비로 환자에게 최상의 의료서비스 제공
6,국립암센터,경기도 고양시 일산동구 일산로 323,031-920-0114,https://www.ncc.re.kr,37.6584,126.7698,암전문병원,4.9,09:00-18:00,국내 최고의 암 전문병원으로 암 치료의 새로운 기준을 제시
7,서울아산병원 암센터,서울특별시 송파구 올림픽로 43길 88,02-3010-3114,https://www.amc.seoul.kr,37.5275,127.1046,암전문병원,4.8,09:00-18:00,종합암센터로 암 진단부터 치료까지 원스톱 서비스 제공
8,서울대학교병원 암센터,서울특별시 종로구 대학로 101,02-2072-0114,https://www.snuh.org,37.5665,126.9780,암전문병원,4.7,09:00-18:00,최신 암 치료 기술과 연구를 바탕으로 한 전문적인 암 치료
9,성모병원,서울특별시 서초구 반포대로 222,02-1588-5700,https://www.cmcseoul.or.kr,37.5025,127.0039,종합병원,4.6,24시간,가톨릭 정신을 바탕으로 한 인간 존중의 의료서비스 제공
10,한양대학교병원,서울특별시 성동구 왕십리로 222-1,02-2290-8114,https://www.hanyang.or.kr,37.5556,127.0444,종합병원,4.5,24시간,최신 의료기술과 따뜻한 마음으로 환자를 치료하는 병원
11,경희대학교병원,서울특별시 동대문구 경희대로 23,02-958-8114,https://www.khu.ac.kr,37.5944,127.0528,종합병원,4.5,24시간,전통의학과 현대의학의 조화로운 의료서비스 제공
12,중앙대학교병원,서울특별시 동작구 흑석로 102,02-6299-1514,https://www.cau.ac.kr,37.5069,126.9575,종합병원,4.4,24시간,환자 중심의 의료서비스와 최신 의료기술을 제공하는 종합병원
13,건국대학교병원,서울특별시 광진구 능동로 120,02-2030-5000,https://www.konkuk.ac.kr,37.5403,127.0822,종합병원,4.4,24시간,최신 의료장비와 우수한 의료진으로 환자에게 최상의 치료 제공
14,동국대학교병원,서울특별시 중구 필동로 1길 30,02-2260-3114,https://www.dguh.co.kr,37.5583,127.0039,종합병원,4.3,24시간,전통과 현대가 조화를 이룬 의료서비스 제공
